 sku,image_urls
52683,https://media.deltafaucet.com/elvis/OnWhite/lg/52683-B1.png
52683-SS,https://media.deltafaucet.com/elvis/OnWhite/lg/52683-SS-B1.png
52684,https://media.deltafaucet.com/elvis/OnWhite/lg/52684-B1.png
52684-CZ,https://media.deltafaucet.com/elvis/OnWhite/lg/52684-CZ-B1.png
52684-PN,https://media.deltafaucet.com/elvis/OnWhite/lg/52684-PN-B1.png
52684-RB,https://media.deltafaucet.com/elvis/OnWhite/lg/52684-RB-B1.png
52684-SS,https://media.deltafaucet.com/elvis/OnWhite/lg/52684-SS-B1.png
52685-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/52685-PK-B1.png
52686,https://media.deltafaucet.com/elvis/OnWhite/lg/52686-B1.png
52686-CZ,https://media.deltafaucet.com/elvis/OnWhite/lg/52686-CZ-B1.png
52686-RB,https://media.deltafaucet.com/elvis/OnWhite/lg/52686-RB-B1.png
52686-SS,https://media.deltafaucet.com/elvis/OnWhite/lg/52686-SS-B1.png
52687,https://media.deltafaucet.com/elvis/OnWhite/lg/52687-B1.png
52687-CZ,https://media.deltafaucet.com/elvis/OnWhite/lg/52687-CZ-B1.png
52687-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/52687-PK-B1.png
52687-PN,https://media.deltafaucet.com/elvis/OnWhite/lg/52687-PN-B1.png
52687-RB,https://media.deltafaucet.com/elvis/OnWhite/lg/52687-RB-B1.png
52687-SS,https://media.deltafaucet.com/elvis/OnWhite/lg/52687-SS-B1.png
52688,https://media.deltafaucet.com/elvis/OnWhite/lg/52688-B1.png
52688-CZ,https://media.deltafaucet.com/elvis/OnWhite/lg/52688-CZ-B1.png
52688-RB,https://media.deltafaucet.com/elvis/OnWhite/lg/52688-RB-B1.png
52688-SS,https://media.deltafaucet.com/elvis/OnWhite/lg/52688-SS-B1.png
52689,https://media.deltafaucet.com/elvis/OnWhite/lg/52689-B1.png
52689-RB,https://media.deltafaucet.com/elvis/OnWhite/lg/52689-RB-B1.png
52689-SS,https://media.deltafaucet.com/elvis/OnWhite/lg/52689-SS-B1.png
52690,https://media.deltafaucet.com/elvis/OnWhite/lg/52690-B1.png
52690-CZ,https://media.deltafaucet.com/elvis/OnWhite/lg/52690-CZ-B1.png
52690-PN,https://media.deltafaucet.com/elvis/OnWhite/lg/52690-PN-B1.png
52690-RB,https://media.deltafaucet.com/elvis/OnWhite/lg/52690-RB-B1.png
52690-SS,https://media.deltafaucet.com/elvis/OnWhite/lg/52690-SS-B1.png
52692-15-BG,https://media.deltafaucet.com/elvis/OnWhite/lg/52692-15-BG-B1.png
52692-WH15-BG,https://media.deltafaucet.com/elvis/OnWhite/lg/52692-WH15-BG-B1.png
52841,https://media.deltafaucet.com/elvis/OnWhite/lg/52841-B1.png
52841-SS,https://media.deltafaucet.com/elvis/OnWhite/lg/52841-SS-B1.png
53001-DS,https://media.deltafaucet.com/elvis/OnWhite/lg/53001-DS-B1.png
54411-CZ-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/54411-CZ-PK-B1.png
54411-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/54411-PK-B1.png
54411-RB-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/54411-RB-PK-B1.png
54411-SS-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/54411-SS-PK-B1.png
54421-CZ-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/54421-CZ-PK-B1.png
54421-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/54421-PK-B1.png
54421-RB-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/54421-RB-PK-B1.png
54421-SS-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/54421-SS-PK-B1.png
54424-20-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/54424-20-PK-B1.png
54424-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/54424-PK-B1.png
54424-RB20-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/54424-RB20-PK-B1.png
54424-RB-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/54424-RB-PK-B1.png
54424-SS20-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/54424-SS20-PK-B1.png
54424-SS-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/54424-SS-PK-B1.png
54424-WC20-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/54424-WC20-PK-B1.png
54424-WC-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/54424-WC-PK-B1.png
54433-CZ-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/54433-CZ-PK-B1.png
54433-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/54433-PK-B1.png
54433-PN-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/54433-PN-PK-B1.png
54433-RB-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/54433-RB-PK-B1.png
54433-SS-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/54433-SS-PK-B1.png
54434-20-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/54434-20-PK-B1.png
54434-SS20-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/54434-SS20-PK-B1.png
54436-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/54436-PK-B1.png
54436-SS-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/54436-SS-PK-B1.png
54445-CZ-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/54445-CZ-PK-B1.png
54445-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/54445-PK-B1.png
54445-RB-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/54445-RB-PK-B1.png
54445-SS-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/54445-SS-PK-B1.png
54446-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/54446-PK-B1.png
54446-RB-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/54446-RB-PK-B1.png
54446-SS-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/54446-SS-PK-B1.png
54456-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/54456-PK-B1.png
54456-SS-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/54456-SS-PK-B1.png
54471-15-BG,https://media.deltafaucet.com/elvis/OnWhite/lg/54471-15-BG-B1.png
54471-20-BG,https://media.deltafaucet.com/elvis/OnWhite/lg/54471-20-BG-B1.png
54471-WH15-BG,https://media.deltafaucet.com/elvis/OnWhite/lg/54471-WH15-BG-B1.png
54488-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/54488-PK-B1.png
54488-RB-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/54488-RB-PK-B1.png
54488-SS-PK,https://media.deltafaucet.com/elvis/OnWhite/lg/54488-SS-PK-B1.png
54613,https://media.deltafaucet.com/elvis/OnWhite/lg/54613-B1.png
54613-CZ,https://media.deltafaucet.com/elvis/OnWhite/lg/54613-CZ-B1.png
